code_article,libelle,famille,unite,prix_standard,statut,fournisseur_principal
ART053,Escalier droit 12 marches,ISOLATION,KG,76.63,ACTIF,FOUR019
ART054,Linteau préfabriqué 1m20,ISOLATION,KG,287.13,INACTIF,FOUR006
ART055,Voile béton 18cm,BETON,KG,195.44,ACTIF,FOUR003
ART056,Poteau carré 25x25,ISOLATION,M,338.41,INACTIF,FOUR018
ART057,Planche de rive 3m,BETON,M,0.0,ACTIF,FOUR013
ART058,Planche de rive 3m,ISOLATION,KG,467.9,INACTIF,FOUR002
ART059,Linteau préfabriqué 1m20,ISOLATION,KG,145.99,INACTIF,FOUR001
ART060,Gaine technique 3m,ISOLATION,M,161.92,ACTIF,FOUR013
ART061,Plaque de sol 40x40,BETON,M,-394.148304555692,INACTIF,FOUR002
ART062,Poteau carré 25x25,ARMATURE,KG,371.91,INACTIF,FOUR002
ART063,Voile béton 18cm,ISOLATION,L,146.01,ACTIF,FOUR004
ART064,Gaine technique 3m,ARMATURE,L,-82.74028493508426,inactif,FOUR007
ART065,Prémur 15cm,ARMATURE,L,220.45,ACTIF,FOUR004
ART066,Gaine technique 3m,,L,399.37,INACTIF,FOUR003
ART067,Dalle pleine 20cm,ISOLATION,L,193.29,INACTIF,FOUR011
ART068,Voile béton 18cm,ISOLATION,KG,237.77,INACTIF,FOUR019
ART069,Escalier droit 12 marches,ISOLATION,M,152.9,ACTIF,FOUR014
ART070,Poteau carré 25x25,ARMATURE,KG,52.69,ACTIF,FOUR019
ART071,Poteau carré 25x25,ISOLATION,L,358.43,INACTIF,FOUR016
ART072,Planche de rive 3m,ARMATURE,KG,79.33,ACTIF,FOUR004
ART073,Prémur 15cm,ISOLATION,kilo,83.91,inactif,FOUR017
ART074,Planche de rive 3m,ISOLATION,M,106.4,INACTIF,FOUR004
ART075,Planche de rive 3m,BETON,KG,355.06,ACTIF,FOUR002
ART076,Prémur 15cm,ARMATURE,KG,0.0,ACTIF,FOUR004
ART077,Escalier droit 12 marches,BETON,KG,199.77,INACTIF,FOUR003
ART078,Voile béton 18cm,BETON,KG,328.53,INACTIF,FOUR010
ART079,Linteau préfabriqué 1m20,BETON,L,262.26,INACTIF,FOUR002
ART080,Linteau préfabriqué 1m20,,KG,250.78,ACTIF,FOUR019
ART081,Voile béton 18cm,ARMATURE,L,0.0,INACTIF,FOUR010
ART082,Prémur 15cm,,L,55.63,ACTIF,FOUR008
ART083,Poutre précontrainte T160,ARMATURE,KG,210.61,INACTIF,FOUR006
ART084,Linteau préfabriqué 1m20,BETON,KG,292.61,INACTIF,FOUR003
ART085,Poteau carré 25x25,ARMATURE,KG,148.68,ACTIF,FOUR016
ART086,Escalier droit 12 marches,BETON,M,131.16,INACTIF,FOUR008
ART087,Gaine technique 3m,ISOLATION,M,32.78,INACTIF,FOUR002
ART088,Voile béton 18cm,ARMATURE,KG,446.26,inactif,FOUR013
ART089,Linteau préfabriqué 1m20,ISOLATION,KG,427.93,ACTIF,FOUR014
ART090,Planche de rive 3m,BETON,kilo,53.71,INACTIF,FOUR009
ART091,Voile béton 18cm,ARMATURE,KG,120.27,ACTIF,FOUR015
ART092,Dalle pleine 20cm,BETON,L,469.43,INACTIF,FOUR017
ART093,Planche de rive 3m,ISOLATION,M,363.65,ACTIF,FOUR019
ART094,Linteau préfabriqué 1m20,BETON,L,286.88,inactif,FOUR999
ART095,Voile béton 18cm,ARMATURE,kilo,171.61,INACTIF,FOUR012
ART096,Escalier droit 12 marches,BETON,KG,0.0,INACTIF,FOUR004
ART097,Poteau carré 25x25,BETON,M,-273.3989175192359,INACTIF,FOUR016
ART098,Escalier droit 12 marches,BETON,M,467.91,INACTIF,FOUR004
ART099,Prémur 15cm,BETON,kilo,-336.0378708360612,INACTIF,FOUR002
ART100,Poteau carré 25x25,ARMATURE,KG,372.13,INACTIF,FOUR017
